category,business_count,saturation_score,saturation_level
Uncategorized,32,1.0,Very High
Schools,10,0.3125,Medium
Advertising,4,0.125,Low
Associations,4,0.125,Low
"Retail Services, Packaging Solutions, Industrial Services, Clothing and Accessories, Headwear, Home and Garden, Jewellery, Textile, Chemicals, Plastic Products",4,0.125,Low
"Cleaning Equipment & Services, General Office Services, Printing, Secretarial Services, Internet Service Providers, Audit and Accounting, Air Transport, Logistics, Vehicle Services, Shipping & Port Agent",3,0.09375,Low
Universities,3,0.09375,Low
General Business,3,0.09375,Low
"Retail Services, Packaging Solutions, Civil Engineering, Hardware Stores, Building Materials, Construction Services, Cashbuild Contact Details, Cashbuild, Cashbuild Waterfalls Zambia, Cashbuild Hardware, Cashbuild Branches, Cash Build Contact Number, Cash Build, Cash Build Lusaka, Cashbuild Lusaka, Cash Build Zambia, Cashbuild Zambia, Building materials",2,0.0625,Low
"Energy Suppliers, Solar Energy, Engineers, Solar energy equipment",2,0.0625,Low
"Banks, Credit Unions",2,0.0625,Low
"Car Parts and Accessories, Vehicle Services",2,0.0625,Low
Training,2,0.0625,Low
"Education, Ministry of Education Address, Ministry of Education Contact Details, Ministry of Education Zambia Address",2,0.0625,Low
"Farming, Wood Products, Hardware Stores, Building Materials",2,0.0625,Low
Environmental Services,2,0.0625,Low
"Food Manufacturing, Food Packaging",2,0.0625,Low
Hotels,2,0.0625,Low
Logistics,2,0.0625,Low
"Restaurants, Take Aways, Wine and Beer, Whisky and Spirits, Hotels",2,0.0625,Low
"Consultants, Investment Companies, Insurance Companies, Financial Activity, Construction",2,0.0625,Low
"General Business, Welfare",2,0.0625,Low
"Banks, Credit Unions, Financial Activity",2,0.0625,Low
Electrical Service,2,0.0625,Low
"Schools, Rhodes Park School",2,0.0625,Low
"Energy Suppliers, Solar Energy, Engineers, Farming, Agricultural Supplies, Industrial Services, Solar energy equipment",2,0.0625,Low
"Banks, Credit Unions, Financial Activity, financial services",2,0.0625,Low
"Legal Services, Solicitors, Wills and Trusts, Attorneys",2,0.0625,Low
"Arts and Crafts, Industrial Services, Steel Products, Home and Garden, Carpet & Rug Dealers-New, Jewellery, Car Parts and Accessories, Car Rental, Vehicle Services",2,0.0625,Low
Education,2,0.0625,Low
"Insurance Companies, Financial Activity, Construction, Construction companies",2,0.0625,Low
"Industrial Automation, Machine Vision, 08:30AM~06:00PM",2,0.0625,Low
"Cleaning Equipment & Services, Engineering, Electrical Service, Electrical Goods, Air Conditioning, Construction",1,0.03125,Low
"General Office Services, Drywall",1,0.03125,Low
"Human Resources, Assessment and Development Consultants, HR Consultancy, Market Research, Data Collection, Internet Surveys, Research and Development, Small Business, Business Plans, Business to Business, Project Management, Market research",1,0.03125,Low
"Advertising, Printing, Design and Print, Web Hosting, Web Services, Domain Name Registration, Website, Photography, Printing",1,0.03125,Low
"Hotels, Tour Operators, Activity Holidays, Travel Agents, Visa Agencies",1,0.03125,Low
Market Research,1,0.03125,Low
"Beauty Professionals, Beauty Salons, Beauty Treatments, Massage, Manicures, Pedicure",1,0.03125,Low
"Computer Consumables, Ink Cartridges, Printer Supplies, Computers Hardware, Electrical Goods, Computers, Laptops, Computers",1,0.03125,Low
